Date,^DJI,^FCHI,^FTSE,^GSPC,^HSI,^IXIC,^N225,^STOXX50E
2024-06-12,38712.2109375,7864.7001953125,8215.5,5421.02978515625,17937.83984375,17608.439453125,38876.7109375,5034.43017578125
2024-06-13,38647.1015625,7708.02001953125,8163.7001953125,5433.740234375,18112.630859375,17667.560546875,38720.46875,4935.5
2024-06-14,38589.16015625,7503.27001953125,8146.89990234375,5431.60009765625,17941.779296875,17688.880859375,38814.55859375,4839.14013671875
2024-06-17,38778.1015625,7571.56982421875,8142.2001953125,5473.22998046875,17936.119140625,17857.01953125,38102.44140625,4880.419921875
2024-06-18,38834.859375,7628.7998046875,8191.2998046875,5487.02978515625,17915.55078125,17862.23046875,38482.109375,4915.47021484375
2024-06-19,,7570.2001953125,8205.099609375,,18430.390625,,38570.76171875,4885.4501953125
2024-06-20,39134.76171875,7671.33984375,8272.5,5473.169921875,18335.3203125,17721.58984375,38633.01953125,4947.72998046875
2024-06-21,39150.328125,7628.56982421875,8237.7001953125,5464.6201171875,18028.51953125,17689.359375,38596.46875,4907.2998046875
2024-06-24,39411.2109375,7706.89013671875,8281.599609375,5447.8701171875,18027.7109375,17496.8203125,38804.6484375,4950.97998046875
2024-06-25,39112.16015625,7662.2998046875,8247.7998046875,5469.2998046875,18072.900390625,17717.650390625,39173.1484375,4935.97021484375
2024-06-26,39127.80078125,7609.14990234375,8225.2998046875,5477.89990234375,18089.9296875,17805.16015625,39667.0703125,4915.93994140625
2024-06-27,39164.05859375,7530.72021484375,8179.7001953125,5482.8701171875,17716.470703125,17858.6796875,39341.5390625,4902.60009765625
2024-06-28,39118.859375,7479.39990234375,8164.10009765625,5460.47998046875,17718.609375,17732.599609375,39583.078125,4894.02001953125
2024-07-01,39169.51953125,7561.1298828125,8166.7998046875,5475.08984375,,17879.30078125,39631.05859375,4929.990234375
2024-07-02,39331.8515625,7538.2900390625,8121.2001953125,5509.009765625,17769.140625,18028.759765625,40074.69140625,4906.330078125
2024-07-03,39308.0,7632.080078125,8171.10009765625,5537.02001953125,17978.5703125,18188.30078125,40580.76171875,4965.7998046875
2024-07-04,,7695.77978515625,8241.2998046875,,18028.279296875,,40913.6484375,4987.47998046875
2024-07-05,39375.87109375,7675.6201171875,8203.900390625,5567.18994140625,17799.609375,18352.759765625,40912.37109375,4979.39013671875
2024-07-08,39344.7890625,7627.4501953125,8193.5,5572.85009765625,17524.060546875,18403.740234375,40780.69921875,4969.830078125
2024-07-09,39291.96875,7508.66015625,8139.7998046875,5576.97998046875,17523.23046875,18429.2890625,41580.171875,4903.6201171875
2024-07-10,39721.359375,7573.5498046875,8193.5,5633.91015625,17471.669921875,18647.44921875,41831.98828125,4958.85986328125
2024-07-11,39753.75,7627.1298828125,8223.2998046875,5584.5400390625,17832.330078125,18283.41015625,42224.01953125,4976.1298828125
2024-07-12,40000.8984375,7724.31982421875,8252.900390625,5615.35009765625,18293.380859375,18398.44921875,41190.6796875,5043.02001953125
2024-07-15,40211.71875,7632.7099609375,8183.0,5631.22021484375,18015.939453125,18472.5703125,,4983.10986328125
2024-07-16,40954.48046875,7580.02978515625,8164.89990234375,5667.2001953125,17727.98046875,18509.33984375,41275.078125,4947.830078125
2024-07-17,41198.078125,7570.81005859375,8187.5,5588.27001953125,17739.41015625,17996.919921875,41097.69140625,4891.4599609375
2024-07-18,40665.01953125,7586.5498046875,8204.900390625,5544.58984375,17778.41015625,17871.220703125,40126.3515625,4870.1201171875
2024-07-19,40287.53125,7534.52001953125,8155.7001953125,5505.0,17417.6796875,17726.939453125,40063.7890625,4827.240234375
2024-07-22,40415.44140625,7622.02001953125,8198.7998046875,5564.41015625,17635.880859375,18007.5703125,39599.0,4897.43994140625
2024-07-23,40358.08984375,7598.6298828125,8167.39990234375,5555.740234375,17469.359375,17997.349609375,39594.390625,4916.7998046875
2024-07-24,39853.87109375,7513.72998046875,8153.7001953125,5427.1298828125,17311.05078125,17342.41015625,39154.8515625,4861.8701171875
2024-07-25,39935.0703125,7427.02001953125,8186.39990234375,5399.22021484375,17021.91015625,17181.720703125,37869.51171875,4811.27978515625
2024-07-26,40589.33984375,7517.68017578125,8285.7001953125,5459.10009765625,17021.310546875,17357.880859375,37667.41015625,4862.5
2024-07-29,40539.9296875,7443.83984375,8292.400390625,5463.5400390625,17238.33984375,17370.19921875,38468.62890625,4815.39013671875
2024-07-30,40743.328125,7474.93994140625,8274.400390625,5436.43994140625,17002.91015625,17147.419921875,38525.94921875,4841.0
2024-07-31,40842.7890625,7531.490234375,8368.0,5522.2998046875,17344.599609375,17599.400390625,39101.8203125,4872.93994140625
2024-08-01,40347.96875,7370.4501953125,8283.400390625,5446.68017578125,17304.9609375,17194.150390625,38126.328125,
2024-08-02,39737.26171875,7251.7998046875,8174.7001953125,5346.56005859375,16945.509765625,16776.16015625,35909.69921875,4638.7001953125
2024-08-05,38703.26953125,7148.990234375,8008.2001953125,5186.330078125,16698.359375,16200.080078125,31458.419921875,4571.60009765625
2024-08-06,38997.66015625,7130.0400390625,8026.7001953125,5240.02978515625,16647.33984375,16366.849609375,34675.4609375,4575.22021484375
2024-08-07,38763.44921875,7266.009765625,8166.89990234375,5199.5,16877.859375,16195.8095703125,35089.62109375,4668.06005859375
2024-08-08,39446.48828125,7247.4501953125,8145.0,5319.31005859375,16891.830078125,16660.01953125,34831.1484375,4668.740234375
2024-08-09,39497.5390625,7269.7099609375,8168.10009765625,5344.16015625,17090.23046875,16745.30078125,35025.0,4675.27978515625
2024-08-12,39357.01171875,7250.669921875,8210.2998046875,5344.39013671875,17111.650390625,16780.609375,,4671.8798828125
2024-08-13,39765.640625,7275.8701171875,8235.2001953125,5434.43017578125,17174.060546875,17187.609375,36232.51171875,4694.919921875
2024-08-14,40008.390625,7333.35986328125,8281.099609375,5455.2099609375,17113.359375,17192.599609375,36442.4296875,4727.60009765625
2024-08-15,40563.05859375,7423.3701171875,8347.400390625,5543.22021484375,17109.140625,17594.5,36726.640625,4807.77001953125
2024-08-16,40659.76171875,7449.7001953125,8311.400390625,5554.25,17430.16015625,17631.720703125,38062.671875,4840.52001953125
2024-08-19,40896.53125,7484.169921875,8356.900390625,5608.25,17569.5703125,17876.76953125,37388.62109375,4871.41015625
2024-08-20,40834.96875,7485.72998046875,8273.2998046875,5597.1201171875,17511.080078125,17816.939453125,38062.921875,4857.580078125
2024-08-21,40890.48828125,7524.72021484375,8283.400390625,5620.85009765625,17391.009765625,17918.990234375,37951.80078125,4885.27978515625
2024-08-22,40712.78125,7524.10986328125,8288.0,5570.64013671875,17641.0,17619.349609375,38211.01171875,4885.0
2024-08-23,41175.078125,7577.0400390625,8327.7998046875,5634.60986328125,17612.099609375,17877.7890625,38364.26953125,4909.2001953125
2024-08-26,41240.51953125,7590.3701171875,,5616.83984375,17798.73046875,17725.76953125,38110.21875,4896.68994140625
2024-08-27,41250.5,7565.77978515625,8345.5,5625.7998046875,17874.669921875,17754.8203125,38288.62109375,4898.77978515625
2024-08-28,41091.421875,7577.669921875,8343.900390625,5592.18017578125,17692.44921875,17556.029296875,38371.76171875,4913.02978515625
2024-08-29,41335.05078125,7640.9501953125,8379.599609375,5591.9599609375,17786.3203125,17516.4296875,38362.53125,4966.27001953125
2024-08-30,41563.078125,7630.9501953125,8376.599609375,5648.39990234375,17989.0703125,17713.619140625,38647.75,4957.97998046875
2024-09-02,,7646.419921875,8363.7998046875,,17691.970703125,,38700.87109375,4973.06982421875
2024-09-03,40936.9296875,7575.10009765625,8298.5,5528.93017578125,17651.490234375,17136.30078125,38686.30859375,4912.52001953125
2024-09-04,40974.96875,7500.97021484375,8269.599609375,5520.06982421875,17457.33984375,17084.30078125,37047.609375,4848.18017578125
2024-09-05,40755.75,7431.9599609375,8241.7001953125,5503.41015625,17444.30078125,17127.66015625,36657.08984375,4815.14990234375
2024-09-06,40345.41015625,7352.2998046875,8181.5,5408.419921875,,16690.830078125,36391.46875,4738.06005859375
2024-09-09,40829.58984375,7425.259765625,8270.7998046875,5471.0498046875,17196.9609375,16884.599609375,36215.75,4778.66015625
2024-09-10,40736.9609375,7407.5498046875,8206.0,5495.52001953125,17234.08984375,17025.880859375,36159.16015625,4747.2001953125
2024-09-11,40861.7109375,7396.830078125,8193.900390625,5554.1298828125,17108.7109375,17395.529296875,35619.76953125,4763.580078125
